,author,updated_at,like_count,text,public
692,@nkaydenn_28,2024-09-14T17:47:36Z,0,kiboy sok cool anj,True
693,@darissaputra8162,2024-09-14T17:47:25Z,0,Kerennn math nyaaa😘😘,True
694,@syahrujiarrozi8539,2024-09-14T17:45:14Z,0,"war apaan cok digame 1 😂, gilaaa",True
695,@jia4816,2024-09-14T17:43:24Z,0,Match layak di tonton nih kek gini. Bukan yg match dah ketebak siapa yg menang #september,True
696,@Srya107,2024-09-14T17:43:10Z,0,"Ingat raja masih ada rajanya kata pak pulung, good by gondrong rese ""kiboy"" selamat nangis dipojokan, kalo menang resenya setinggi langit makanya disebut raja langit 😂",True
697,@RanaDwi,2024-09-14T17:41:38Z,2,Plis kalu RRQ maen komentatornya jangan Kroco semua. Kasik profesional 1 seperti Bapak Wawa. Terimakasih,True
698,@r.sugarae.s2008,2024-09-14T17:41:26Z,0,MANTAP SUTSUJIN DAN TEMAN2,True
699,@ahmadwijaya9498,2024-09-14T17:41:24Z,1,KITA BALAS DI LEG 2 *Kairul Kumar EL RUMPUT,True
700,@yudijuanjuan8407,2024-09-14T17:38:41Z,0,Inikah Raja langit???😂😂😂😂,True
701,@q.c.komeng,2024-09-14T17:36:56Z,0,Fakta yg harus diterima!!! Skylar >> CW,True
702,@ahmadridwan8991,2024-09-14T17:36:50Z,0,DI ATAS LANGIT ADA RRQ❤,True
703,@Gilang-mt8ly,2024-09-14T17:36:10Z,0,Buset ni match ter epic ter gila ter keren di mpl season sekarang 👏,True
704,@fian6540,2024-09-14T17:35:23Z,0,GG sutsujin MVP,True
705,@mosandy2073,2024-09-14T17:34:37Z,0,"Mau tau apa kata KIBOY 
ALESAN APA LAGI DEKK???",True
706,@Rommi93,2024-09-14T17:33:47Z,2,"Ingat kata kairi setelah kalah leg 1 dia gak main, Macth 2 lebih paraahhh 😂😂😂",True
707,@lofi7690,2024-09-14T17:33:30Z,1,Kairi kebelet savage,True
708,@lofi7690,2024-09-14T17:33:28Z,0,Kairi kebelet savage,True
709,@firmanmaulana-iq9tm,2024-09-14T17:33:02Z,0,Era ph udah selesai,True
710,@Rommi93,2024-09-14T17:31:29Z,3,RRQ nih Gaess Emang siyaaapee 🔥🔥🔥,True
711,@d.rizkyy,2024-09-14T17:28:55Z,0,Pertandingan termahal tergila terseru antar jungler di mpl s14,True
712,@AdmiralKy,2024-09-14T17:28:13Z,0,"Anak epos pernah bilang, kalo LING ujin msh d bawa Anapel 😂 makan tuu #9 kocak",True
713,@dedesofyan2987,2024-09-14T17:26:40Z,0,Kasian sih liat onic kalah nya grgr exp nya banyak gaya😂,True
714,@sansanpurwansyah9602,2024-09-14T17:24:31Z,0,Evos uda gada harapan kah bg?,True
715,@Zayyan_24,2024-09-14T17:23:43Z,1,"Sutsujin licin bgt 😂, makasih ya evos",True
716,@lutfiheryana28,2024-09-14T17:23:27Z,0,Dyren matii muluuuu,True
717,@Nyomahh,2024-09-14T17:23:19Z,1,"Akhirnya RRQ sudah menemukan Jungler yg cocok,, Pertahanin sih",True
718,@bayukresnaaji9331,2024-09-14T17:21:52Z,0,Ingat kata pk pulung.. Lek dyren kurang 45 rebuk,True
719,@sansum223,2024-09-14T17:21:09Z,0,Kek nonton final cuy,True
720,@gilangrochmadoni2427,2024-09-14T17:20:56Z,0,reeznya offside Mulu,True
721,@donistubborn.96,2024-09-14T17:20:55Z,0,Percayalah jika goldlane nya bukan skylar RRQ pasti kalah,True
722,@wongndeso8400,2024-09-14T17:20:55Z,0,Nngerrrrriiiii,True
723,@Bcat1209,2024-09-14T17:20:53Z,0,Onic tidak serius. mereka ingin rrq di playoffs agar viewnya lebih banyak dan setelahnya mereka akan membuat RRQ menangis. ingat pelatih RRQ menangis musim lalu bersama BTR di babak playoff. Tak sabar menunggu fans RRQ kaget di babak playoff sambil menangis. tertawa terbahak-bahak,True
724,@mcasen8299,2024-09-14T17:19:38Z,1,"Recall"" Kenal comeback",True
725,@diyantv1755,2024-09-14T17:19:28Z,44,"Game 1 game paling gila sich, setelah final season 6 baru ini sampe merinding lg.",True
726,@royjordihirotl2969,2024-09-14T17:17:42Z,0,"2 jungler ganteng pengendong handal, menampilkan permainan yg indah. dingin tapi menyala 🔥🔥",True
727,@dedesofyan2987,2024-09-14T17:16:30Z,0,"Tapikan bang albert gamain, padahal kmarin albert lagi jago2 nya wkwkwk, ucap siapa awokawokawok 😂😂😂",True
728,@Jongs12,2024-09-14T17:15:29Z,0,14.20 panik,True
729,@yulistiantidarputrapradana4537,2024-09-14T17:15:00Z,0,Tontonan yg sebenarnya rrq vs fonic,True
730,@dedesofyan2987,2024-09-14T17:14:23Z,0,Rezz recal2?? Kalo kalah gaboleh alasan😂 wkwkwkw,True
731,@briliardiles9342,2024-09-14T17:14:20Z,0,Rezz star syndrome😂,True
732,@RosyidOcid-w1c,2024-09-14T17:10:14Z,0,RRQ MAIN KASIH SENANG DULU😎,True
733,@TahuTempe-o1k,2024-09-14T17:09:09Z,0,Mn woy taruhan botak nih 🤣,True
734,@serigalamilitia8354,2024-09-14T17:08:55Z,0,"Gitu sih kalo takabbur, kasian kiboy kairi hahay",True
735,@zaenal2724,2024-09-14T17:07:36Z,0,Pak pulung nge rap😮,True
736,@robaraofficial5584,2024-09-14T17:05:32Z,0,sutsujin = GG parah,True
737,@faridramdani-wf6yx,2024-09-14T17:02:28Z,0,"zz,zzzzzz,zzzzzzzzzzzzzzzzz,,,,,zzzzzzzxCcggzzzzzz

,,,,







,,




ggggg",True
738,@ndralaksmana2888,2024-09-14T17:02:05Z,0,Berapi api bangt ujin lawan kairul,True
739,@V-Randomm,2024-09-14T17:01:33Z,0,Rrq udah bangkit mau dilawan jangan ya dek ya😅,True
740,@MhdDandi-o6u,2024-09-14T16:59:05Z,0,di seson ini la raja mengambil tahta ny kembali,True
741,@BarkahMLBB,2024-09-14T16:58:53Z,1,"Yang bilang digendong skaylar mana nih wokwokwok,jangan meninggi ninggin bottt makanya",True
